;Title;Number of review;Catagory;Reveiw Comment;Popular food;Online Order;n_Online Order
422;Del Frisco's Double Eagle Steakhouse;620;American, Steakhouse;“My favorite is actually their bibimbap.”;fries;Yes;1
423;Gaonnuri;849;Barbecue, Asian;“... and white chocolate strawberry tiramisu and the chocolate tart for desser...”;tacos;Yes;1
424;Azalea Ristorante;983;Italian;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;French Toast;Yes;1
425;Lupa Osteria Romana;167;Italian, Romana;“The asparagus fries were to die for!”;fish and chips;Yes;1
426;Loring Place;397;American;“Lovely tacos and margaritas, perfect.”;tuna;Yes;1
427;Anejo;457;Mexican, Latin;“Wow, French Toast”;chili;No;0
428;Jane Restaurant;1,702;American;“great staff, location and the fish and chips were so good.”;paninis;No;0
429;Connolly's Pub & Restaurant;975;American, Irish;“Quick lunch before dashing to a business...”;meatballs;No;0
430;O'Lunney's;114;American, Irish;“Highlights were the tuna tartare appetizer and the salmon entree.”;calamari;No;0
431;David Burke Tavern;880;American, Steakhouse;“Great find”;great burgers;No;0
432;The Harold;746;American;“We had the fried whole snapper with chili sauce...we asked for it mild, but i...”;bar;No;0
433;Pongsri Thai Restaurant;263;Asian, Thai;“Two paninis and one pasta dish ordered.”;falafel;No;0
434;Pepe Giallo;610;Italian;“... oil and garlic sauce, spaghetti and meatballs and baked ziti bolognese.”;No;No;0
435;Tony's Di Napoli;199;Italian, Neapolitan;“Fantastic little vegan place, great food...”;No;No;0
436;P.S. Kitchen;13;American;“Maryland’s Best in NYC”;No;No;0
437;Ledo Pizza;1,151;Italian, Pizza;“Ordered a few tapas including steak, shrimp and calamari.”;No;No;0
438;Pazza Notte;289;Italian, Pizza;“Right next door to the Wyndham on 44th St., this place has great burgers and...”;No;No;0
439;The Perfect Pint;883;Irish, Bar;“A Smith-miracle”;No;No;0
440;The Smith;674;American, Bar;“This bar was attached to our hotel so after a long day of shopping we decided...”;No;No;0
441;Niles Bar & Restaurant;308;American, Bar;“We had dolma, lebni, lentil kofte, shepherds salad, falafel and sigara borek.”;No;No;0
442;ABA Turkish Restaurant;No;Turkish, Middle Eastern;No;No;No;0
443;No;No;Turkish, Middle Eastern;No;No;No;0
444;Em Vietnamese Bistro;5;Asian, Vietnamese;““Best Kept Secret in Dumbo””;bass;Yes;1
445;Perry St;368;Contemporary;“Best Restaurant in West Village...”;bagels;Yes;1
446;Friedman's Lunch;506;American;“Best restaurant for gluten free food”;Great coffee;Yes;1
447;Nick's;276;Italian, Pizza;“Neighborhood Gem”;filet mignon;Yes;1
448;Smoke Jazz Club;554;American;“... Essiet - bass Jerome Jennings - dru...”;Snails;Yes;1
449;Zabar's;525;American, Deli;“Awesome bagels!!”;salad;Yes;1
450;Motorino East Village;290;Italian, Pizza;“Excellent Pizza”;Pizza;Yes;1
451;Pi Greek Bakerie;150;Cafe, Mediterranean;“Great coffee, even greater pastries and...”;carbonara;Yes;1
452;Fogo de Chao Brazilian Steakhouse;1,156;Steakhouse, Brazilian;“... and white: filet mignon, sirloin ch...”;mussels;Yes;1
453;Le Rivage;887;French, European;“Loved the food and got quite tipsy in the G&T and wine Snails, Duck and Peach...”;tapas;Yes;1
454;Park Avenue Tavern;531;American, Bar;“... and the salad on top made it so fre...”;soups;Yes;1
455;Harry's;372;American, Steakhouse;“A steakhouse named desire.”;burger;Yes;1
456;The Marshal;323;American, Pizza;“Quite possibly the best Pizza I ever ate!”;Mac and cheese;Yes;1
457;ViceVersa;463;Italian;“Excellent choice near the Theatres”;burger;Yes;1
458;Pep's on Grand;291;Italian, Pizza;“A must!!”;West;Yes;1
459;Aureole at Home;1,157;American;“Enjoyable Aureole”;Garden;Yes;1
460;Barbuto;583;Italian;“... in my mind, was the carbonara.”;PIADINA;Yes;1
461;BXL Cafe;470;Belgian, Bar;"“We both had mussels and fries; mine wer...”";skewers;Yes;1
462;Knickerbocker Bar & Grill;470;American, Steakhouse;“Beautiful steak”;Lobster;Yes;1
463;The Leopard at des Artistes;310;Italian, Sicilian;“Top-notch restaurant - worth a visit”;carbonara;Yes;1
464;La Pulperia;278;Latin, Seafood;“Great tapas but super loud”;No;Yes;1
465;Mari Vanna;350;European, Eastern European;“The traditional soups looked very good...”;No;Yes;1
466;Minetta Tavern;1,165;American, Bar;“It didn’t disappoint, burger was delici...”;No;No;0
467;Coppola's Italian Restaurant;444;Italian;“Great neighborhood spot”;No;No;0
468;Tim Ho Wan;35;Chinese, Asian;“LOVE THIS PLACE”;No;No;0
469;Friedmans;437;American;“She had the Mac and cheese for a starter and sandwich for main.”;No;No;0
470;Fraunces Tavern;1,542;American;“By the way the bison burger was insanely good!!”;No;No;0
471;2 Bros Pizza;250;Italian, American;“Cheap and Delicious”;No;No;0
472;Pio Pio 6;412;Spanish, South American;“Authentic Peruvian food”;No;No;0
473;The Keg Room;844;Irish, American;“If you are in the area of West 36th St. and seeking an eating establishment t...”;No;No;0
474;Goldie's Tavern;7;Bar, Pub;“Close to Maddison Square Garden.”;No;No;0
475;Pret A Manger;392;American, Fast Food;“A favorite of mine in the UK and USA”;No;No;0
476;Taim West Village;266;Fast Food, Mediterranean;“Wow, so good and inexpensive!”;No;No;0
477;Non Solo Piada;98;Italian, Mediterranean;“REAL ITALIAN PIADINA”;No;No;0
478;Churrascaria Plataforma;1,511;Steakhouse, Brazilian;“Great salad/ cold dish bar and the meats on skewers were all well prepared.”;No;No;0
479;Marc Forgione;394;American;“... chili Lobster and aged beef were my...”;No;No;0
480;Lupa Osteria Romana;983;Italian, Romana;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;No;No;0
481;Benjamin Steakhouse;2,490;Seafood, Soups;“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”;ribeye;Yes;1
482;Metro Diner;484;American, Diner;“Two of us had breakfast while one had burger.”;burger;Yes;1
483;The Odeon;513;French, American;“I had the Odeon burger and fries - deli...”;burger and fries;Yes;1
484;Pappardella;494;Italian, Tuscan;“Extensive delicious gluten free menu!”;gluten free;Yes;1
485;Katz's Deli;17,920;Deli, Israeli;“The Reuben Sandwich is good”;Reuben Sandwich;Yes;1
486;Cafe Luxembourg;623;French;“... but slightly overcooked, the moules frites and ravioli excellent accordin...”;moules frites;Yes;1
487;Momoya Soho;9;Japanese, Seafood;“Leave it to Sushi Chef!”;Sushi;Yes;1
488;Loeb Boathouse Central Park;3,863;American;“... a fast food place but there is a burger type menu for those that want tha...”;burger;Yes;1
489;Souvlaki GR Midtown;391;Mediterranean, Greek;“Located next to our hotel, Souvlaki GR was perfect for our need: a late dinner.”;Souvlaki;Yes;1
490;Marta;840;Italian, Pizza;“My favorite pizza is the stracciatella,...”;stracciatella;Yes;1
491;Dolly Varden;331;American, Gastropub;“Fun Atmosphere - Pleasant Staff”;sweet potato fries;Yes;1
492;The Counter;1,665;American;“Fantastic sweet potato fries too!”;French Onion Soup;Yes;1
493;Quality Bistro;67;French, American;“We had French Onion Soup, which was delicious.”;bruschetta;Yes;1
494;Monkey Bar;571;American, Bar;“The Monkey”;fried rice;Yes;1
495;Eleven Madison Park;2,658;American, European;“Top Restaurant in NYC”;salad;No;0
496;Pete's Tavern;446;American, Bar;“Hystorical Pub”;chili;No;0
497;Benito One;1,493;Italian;“We also had bruschetta and a bottle of wine.”;pub;No;0
498;Park Avenue Autumn/Winter/Spring/Summer;561;American;“Bad first impression but it gets much...”;Bartender;No;0
499;Katherine;111;Italian;“Best cocktails”;Mac and cheese;No;0
500;Antique Garage;436;Mediterranean, European;“First dinner in NYC”;pastrami sandwich;No;0
501;Dim Sum Palace;344;Chinese, Asian;“We also had the fried rice and several...”;chicken parmesan;No;0
502;Bistro Milano;630;Italian;“We enjoyed the pizzas and salad were fr...”;salad;No;0
503;Refinery Rooftop;824;American;“Excellent second visit, great views and...”;salad;No;0
504;R Lounge at Two Times Square;587;American, Bar;“Watching the world going by in Times...”;Garden;No;0
505;Little Alley;44;Asian, Chinese;“For a main course the sautéed green beans with pork and dried red chili was b...”;No;No;0
506;McHale's Bar & Grill;503;American, Irish;“Whenever I get the opportunity to eat at an Irish pub I take it.”;No;No;0
507;Freemans Restaurant;703;American;“Bartender almost made me leave”;No;No;0
508;The Egg Shop;312;American, Cafe;“Great eggs and superb service”;No;No;0
509;Decoy Bar;190;Chinese, Asian;“Never disappoints!”;No;No;0
510;The Rum House;579;Pub;“Busy place with cool vibes”;No;No;0
511;Balzem;100;Wine Bar, Mediterranean;“Amazing!!!”;No;No;0
512;The Smith;1,205;Bar, American;“... snacks/starters but everything was good, particularly the Mac and cheese.”;No;No;0
513;Pastrami Queen;471;American, Deli;“Really tasteful pastrami sandwich and you have the chance to order the “junio...”;No;No;0
514;Quality Italian;871;Italian, Pizza;“The chicken parmesan appetizer is world class -- must try it!”;No;No;0
515;Bea;362;American;“Shared the beet salad, had the ravioli...”;No;No;0
516;Mom's Kitchen & Bar;198;American, Bar;“Steak and eggs were perfect, with salad a great gluten free option.”;No;No;0
517;Goldie's Tavern;7;Bar, Pub;“Close to Maddison Square Garden.”;No;No;0
518;Katherine;111;Italian;“Best cocktails”;crispy duck;Yes;1
519;Red Farm;409;Chinese, Asian;“... and the crispy duck and crab dumpli...”;risotto;Yes;1
520;Ai Fiori;1,071;Italian, French;“The risotto with lobster and uni cream was also fantastic.”;burger;Yes;1
521;Max Brenner NYC;2,054;American;“My burger was probably the best burger ever and we had three types of chocola...”;burger;Yes;1
522;The Skylark;370;American, Bar;“Brilliant food”;lobster roll;Yes;1
523;The Mermaid Inn;369;American, Seafood;“Honestly, this mini lobster roll is just the cutest thing.”;ribeye;Yes;1
524;Ben & Jack's Steakhouse;87;Bar, American;“The bartender/server suggested the ribeye as well as the special mashed potat...”;tacos;Yes;1
525;Arturo's;355;Italian, Pizza;“NEARLY 4O YEARS LAYTER AND IT IS STILL...”;eggplant;Yes;1
526;Sparks Steak House;1,457;American, Steakhouse;“A great steakhouse”;pizza;Yes;1
527;La Esquina - SoHo;1,207;Mexican, Latin;“We had different kinds of tacos which w...”;Spaghetti;Yes;1
528;Zero Otto Nove;269;Italian, Pizza;“... were the eggplant zucchini parmigia...”;bruschetta;Yes;1
529;O'Donoghue's Pub and Restaurant;850;American;“Excellent bar and restaurant”;fries;Yes;1
530;Motorino;48;Italian, Pizza;“Delicious thin crust pizza”;Vitello;Yes;1
531;Angelo's Pizza;1,828;Italian, Pizza;“We got Pizza, Lazangna and Spaghetti -...”;pizza;Yes;1
532;Don Giovanni;759;Italian, Pizza;“We shared bruschetta to start and then had a small pizza each for mains - pep...”;French toast;Yes;1
533;Westville Chelsea;212;American;“My daughter is in love with the pesto mashed potatoes and parmesan fries (def...”;Asian food;Yes;1
534;Uva;486;Italian, Wine Bar;“... al ragu di Vitello (pasta ribbons a...”;sandwiches;Yes;1
535;John's of Times Square;6,163;Italian, Pizza;“Awesome tasty pizza- worth a visit”;Steak;Yes;1
536;Miss Mamie's Spoonbread Too;102;American, Caribbean;“Southern classics”;creamed spinach;Yes;1
537;Morning Star Cafe;429;American;“... slice of French toast with sausages...”;caviar;Yes;1
538;Red Bamboo;321;International, Asian;“Super great place to eat”;tiramisu;Yes;1
539;Main Noodle House;336;Chinese, Asian;“It was very good as all Asian food is!!”;tagliatelle;Yes;1
540;Sarge’s Delicatessen & Diner;908;American, Diner;“Wonderful sandwiches and great French o...”;Crab Cakes;Yes;1
541;Hama Japanese Cuisine;194;Japanese, Bar;“Good Japanese food”;dumplings;No;0
542;Royal 35 Steakhouse;591;American, Steakhouse;“Superb Steak, really delicious”;sashimi;No;0
543;Calle Dao Bryant Park;188;Chinese, Caribbean;“Unique taste adventure”;No;No;0
544;Ruth's Chris Steak House;1,543;American, Steakhouse;“We ordered the lobster bisque soup, garlic mashed potatoes, creamed spinach a...”;No;No;0
545;Batard;355;French, American;“Our 1st dishes were Russian caviar and Country pate both excellent and paired...”;No;No;0
546;Osteria al Doge;1,406;Italian;“... a neighboring table told us the tiramisu and the crème brulée were equall...”;No;No;0
547;Ovest Pizzoteca;186;Italian, Pizza;“... of the tagliatelle fredo with shrim...”;No;No;0
548;Benjamin Steakhouse Prime;309;Seafood, Soups;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;No;No;0
549;Cafe China;577;Chinese, Asian;“Best dumplings in chili oil!”;No;No;0
550;Fresco by Scotto;516;Italian;“Dinner with Friends”;No;No;0
551;Luigi's Gourmet Pizza;245;Italian, Pizza;“Best fries ever!!”;No;No;0
552;Jacob Restaurant Soul Food & Salad Bar;194;American;“Nice vibe, cheap food”;No;No;0
553;5 Napkin Burger;745;American, Bar;“Will Return Again”;No;No;0
554;Hatsuhana Sushi Restaurant;425;Japanese, Sushi;“... notch, including the O-toro sashimi.”;No;No;0
555;The Elgin;55;Pub, Gastropub;“I had the sliders and a green salad with a tasty lemony vinaigrette.”;sliders;Yes;1
556;Virgil's Real BBQ - Times Square;4,769;American, Bar;“Brisket was incredible, the pulled pork...”;pork;Yes;1
557;Koi;845;Japanese, Seafood;“Best things on menu: - spicy tuna crispy rice - salmon carpaccio - creamy tem...”;tuna;Yes;1
558;Casa Mono;533;Mediterranean, Spanish;“Mouth-watering and truly memorable tapas”;tapas;Yes;1
559;Ear Inn;224;American, Bar;“Authentic Dive Bar”;Bar;Yes;1
560;Cipriani Wall St;457;Italian;“Food Looked Amazing!”;tuna;Yes;1
561;Vestry;24;Italian;“The tuna toast !”;meatballs;Yes;1
562;Carmine's Italian Restaurant - Upper West Side;1,937;American, Bar;“Delicious food, meatballs divine.”;fresh pasta;Yes;1
563;Delicatessen;557;American, Diner;“Good atmosphere and pleasant evening”;lobster bisque;Yes;1
564;Galaxy Diner;505;Italian, Pizza;“Nice place for a family meal”;lamb;Yes;1
565;Eataly Downtown;1,717;American, Fast Food;“... didn't open until 11 for fresh pasta.”;best pizza;Yes;1
566;Cafe Cranberry;702;Steakhouse, Bar;“Good Food for a quick meal on the go, or...”;green curry;Yes;1
567;Sea Fire Grill;1,137;Italian, Mediterranean;“The lobster bisque was velvety and luscious.”;salmon;Yes;1
568;Da Claudio Ristorante;220;Lebanese, Mediterranean;"“"" So Delicious!""”";meatballs;Yes;1
569;Au Za'atar;209;Indian;“My favorite dish is the lamb with pinenuts over hummus.”;salad;Yes;1
570;Nirvana;352;Italian;“Great spot. Priced well. Good”;vegetarian;Yes;1
571;La Pecora Bianca;446;Italian, Pizza;“Great food”;Salmon;No;0
572;Champion Pizza - Soho;130;American, Italian;“They have the best pizza.”;tuna;No;0
573;Maialino (vicino);923;Asian, Thai;“Roman style Italian in Murray Hill”;Thai;No;0
574;Yum Yum Too;458;French, Cafe;“We both had the shrimp with green curry.”;polenta;No;0
575;Cafe Cluny;374;Italian, Pizza;“I started with a delicious salmon tarta...”;filet mignon;No;0
576;Gelso & Grand;942;Italian, Pizza;“Would highly recommend the meatballs, the truffle sausage pasta and the toast...”;beef;No;0
577;Salumeria Rosi;400;Indian;“Food was quite good and the cheese and meats were an ideal meal with salad.”;No;No;0
578;Saar Indian Bistro;98;American, Bar;“We had a party of four and ordered three entrees to share and one vegetarian...”;No;No;0
579;West End Bar & Grill;384;Caribbean, Latin;“Salmon slicers and cole slaw was amazing.”;No;No;0
580;Havana NY;277;European, French;“Amazing”;No;No;0
581;Nougatine at Jean Georges;1,103;Asian, Thai;“... the tuna tartare and the beef tende...”;No;No;0
582;At Nine Restaurant & Bar;141;French, Cafe;“Best Thai I've ever had!”;No;No;0
583;Le Pain Quotidien;765;Italian, Mediterranean;“Lovely, quaint place”;No;No;0
584;Allora Fifth Ave;9;Italian;“Good experience for dinner”;No;No;0
585;Pisticci;281;American, Bar;“... meatballs and polenta: wonderfully ...”;No;No;0
586;St. Cloud Rooftop;337;French, European;“nice location and good quality”;No;No;0
587;Chez Josephine;1,000;Chinese, Asian;“... and the filet mignon au poivre.”;No;No;0
588;Wo Hop;1,112;Bar;“This visit we tried spicy beef with egg...”;No;No;0
589;Spyglass;363;Italian, Pizza;“Spyglass visit 2/23”;No;No;0
590;Motorino East Village;290;Italian, Pizza;“Excellent Pizza”;No;No;0
591;No;No;Italian, Pizza;No;No;No;0
592;The Elgin;55;Pub, Gastropub;“I had the sliders and a green salad with a tasty lemony vinaigrette.”;sliders;Yes;1
593;One if by Land, Two if by Sea;829;American, Contemporary;“We ordered the 7 course tasting menu wh...”;course tasting menu;Yes;1
594;Tessa;323;American, Mediterranean;“The beet salad and pasta were tasty and...”;beet salad;Yes;1
595;Prune;459;American, International;“Compact Space Reminded Us of a Parisian...”;risotto;Yes;1
596;Le Relais de Venise L'Entrecote Midtown East;803;French;“Great French experience, like be8ng back...”;vegetarian;Yes;1
597;Amarone Scarlatto;1,947;Italian, Mediterranean;“Fettuccine Portofino, risotto of the day, gnocchi, pasta bolognese and chicke...”;burger;Yes;1
598;Saar Indian Bistro;98;Indian;“We had a party of four and ordered three entrees to share and one vegetarian...”;tuna;Yes;1
599;The Standard Grill;1,841;American, Bar;“The food was spectacular - really liked the crab claws and the burger.”;tuna;Yes;1
600;Bond Street;370;Japanese, Sushi;“The tuna tarts, tuna tartare, steak, tuna over crispy rice were all phenomenal.”;tuna;Yes;1
601;Lattanzi Ristorante;808;Italian;“What's not to love at this restaurant row...”;salad;Yes;1
602;Balthazar;6,503;French, European;“A glass of Sancerre and a Niçoise salad was the perfect choice.”;scallops;Yes;1
603;Hunt & Fish Club;375;American, Seafood;“On the other hand, my scallops were per...”;burger;Yes;1
604;Tim Ho Wan;35;Chinese, Asian;“LOVE THIS PLACE”;salad;Yes;1
605;Le District;517;French;“In case you were missing some French vibes”;bibimbap;Yes;1
606;The Lambs Club;947;American, Contemporary;“We had the burger and the lamb chops.”;salmon;Yes;1
607;Gigino Wagner Park;403;Italian;“Great find”;pasta;Yes;1
608;Good Enough to Eat;792;American;“More migas and strawberry butter please”;chaat;Yes;1
609;The Stagecoach Tavern;458;American;“Sports Bar with good food and drinks”;paella;Yes;1
610;KOBA Korean Bbq;5;Asian, Korean;"“Great food ; good price”";salmon;Yes;1
611;The Milling Room;248;American;“The salad, octopus legs and Brussels sprouts are just frankly amazing”;Great bar;No;0
612;Don's Bogam BBQ & Wine Bar;208;Barbecue, Asian;“Arrive the kimchi, bibimbap, bean paste stew, and tofu to soothed, satisfied...”;cheesecake;No;0
613;Tribeca Grill;1,213;American;“My husband had the Caesar salad and salmon entrée.”;burger;No;0
614;Locanda Verde;1,210;American, Italian;“The pasta was al dente and the sauce was mouthwatering.”;Crab Cakes;No;0
615;Junoon Restaurant;771;Indian, Asian;“I will dream about the eggplant chaat and the daal makhni and the butter naan...”;cod;No;0
616;Socarrat Paella Bar - Midtown East;191;Mediterranean, European;“Best paella outside of Spain!”;crab cakes;No;0
617;Artichoke Basille's Pizza;536;Italian, Pizza;“Great pizza.”;clams;No;0
618;Felice 15 Gold;287;Italian;“I enjoyed a birthday dinner here in August and ate a wonderful salmon salad.”;steak;No;0
619;The Long Room;495;American, Irish;“Great bar off Times Square.”;lobster;No;0
620;Wolfgang's Steakhouse;1,201;American, Steakhouse;“Finished with a dessert platter that included Key Lime pie, cheesecake, and c...”;No;No;0
621;Paul's Da Burger Joint;268;American, Diner;“Great find for perfect burger”;No;No;0
622;Benjamin Steakhouse Prime;309;Seafood, Soups;“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”;No;No;0
623;TAO Downtown Restaurant;1,566;Chinese, Japanese;“We had a wonderful dinner and shared beef short rib, miso cod and chili chicken.”;No;No;0
624;Empire Steak House;934;Bar, American;“We had the branzino, crab cakes and NY cheese cake.”;No;No;0
625;Trattoria Pesce Pasta;222;Italian, Seafood;“... fish dish with clams, shrimp and sc...”;No;No;0
626;Bobby Van's Steakhouse - 50th Street;688;American, Steakhouse;“Our steak was cooked to perfection and the sides were just the right amount t...”;No;No;0
627;Atlantic Grill;524;American, Seafood;“Very good lobster special dinner ordered in”;No;No;0
628;Katherine;111;Italian;“Best cocktails”;No;No;0
629;Tim Ho Wan;35;Chinese, Asian;“LOVE THIS PLACE”;pretzels;Yes;1
630;Nizza;1,036;Italian, Pizza;“Great Italian restaurant in Theater...”;carbonara;Yes;1
631;Cafe Sabarsky;701;German, Austrian;“... dumplings, chicken, delicious pretzels, and soups are also offered.”;Beef;Yes;1
632;Lupa Osteria Romana;983;Italian, Romana;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;mussels;Yes;1
633;COTE Korean Steakhouse;219;Steakhouse, International;“Beef that melts in your mouth”;Steak;Yes;1
634;The Smith;1,829;American, Bar;“My hubby really enjoyed the mussels dish & I had the chicken bolognese with m...”;ribs;Yes;1
635;Royal 35 Steakhouse;591;American, Steakhouse;“Superb Steak, really delicious”;salad;Yes;1
636;Havana Central Times Square;1,938;Caribbean, Latin;“We also had ribs and chicken.”;lobster;Yes;1
637;Ellen's Stardust Diner;22,604;American, Diner;“The food was so good, one of the best salad I’ve ever had!!! the service was...”;chicken enchiladas;Yes;1
638;Osteria Laguna Restaurant;789;Italian, Pizza;“Nice place in midtown”;Home Fries;Yes;1
639;Strip House;695;American, Steakhouse;“... We had a lobster chowder which did ...”;salmon;Yes;1
640;aldea;334;European, Portuguese;“Cutting edge restauratn”;vegetarian;Yes;1
641;Katherine;111;Italian;“Best cocktails”;calamari;Yes;1
642;Il Mulino New York;535;Italian;“Well-done Mulino!”;pizza oven;Yes;1
643;La Contenta;94;Mexican, Latin;“The drinks were great and we were recommended the chicken enchiladas and wow...”;eggplant;Yes;1
644;Pershing Square Restaurant;2,599;American, Cafe;“We both ordered the French Toast with a side of Home Fries an OJ & a coffee.”;brisket;Yes;1
645;New Wonjo Restaurant;466;Japanese, Fast Food;“Communication gap”;French Onion Soup;Yes;1
646;Wasabi Sushi & Bento;623;Indian;“We took a soup with chicken and a plate with salmon and rice.”;Burger;Yes;1
647;Saar Indian Bistro;98;Italian;“We had a party of four and ordered three entrees to share and one vegetarian...”;swordfish;Yes;1
648;Mercato;1,043;Italian;“... we enjoyed the Bruschetta and calamari, shrimp cod appetizer, fresh, alig...”;vegetarian;Yes;1
649;Nino's 46;380;Italian, Pizza;“... and warmer (probably as we were sat at the back nearer the pizza oven).”;tuna;Yes;1
650;Il Cortile Restaurant;925;American, Irish;“Excellent veal with eggplant and peppers.”;salmon;No;0
651;The Crooked Knife;294;American, Barbecue;“Lovely bar for a few quiet afternoon pints”;Sushi;No;0
652;Hill Country Barbecue Market;1,099;French, American;“perhaps the moistest moist brisket in nyc”;nachos;No;0
653;Quality Bistro;67;American, Seafood;“We had French Onion Soup, which was delicious.”;Pier;No;0
654;Lure Fishbar;656;American, Irish;“Best Burger & a great vibe!!”;mussels;No;0
655;Atera;209;Indian;“Very good, but maybe more a one star place”;dumplings;No;0
656;Hurley's Saloon;708;Italian;“Enjoyed a wonderful swordfish and hubby...”;No;No;0
657;Saar Indian Bistro;98;American, Steakhouse;“We had a party of four and ordered three entrees to share and one vegetarian...”;No;No;0
658;Casa Lever;302;American;“Friends have been recommending this...”;No;No;0
659;David Burke Tavern;114;Japanese, Sushi;“Highlights were the tuna tartare appetizer and the salmon entree.”;No;No;0
660;One World Observatory Restaurant;420;Mexican, Latin;“I then had the salmon appetizer that was both plentiful and delicious.”;No;No;0
661;Zuma;818;American, Italian;“Sushi top! cool atmosphere and one of the place to be at NYC. Overall it is a...”;No;No;0
662;Dos Caminos;747;French;“... helpful I ordered the carnitas nachos 100% I recommend and would definite...”;No;No;0
663;Industry Kitchen;440;Chinese, Asian;“So we decided to head to Pier 17 near the river.”;No;No;0
664;La Bonne Soupe;1,034;Chinese, Asian;“... French onion soup, escargot & mussels.”;No;No;0
665;Tim Ho Wan East Village;207;Chinese, Asian;“Super dumplings!”;No;No;0
666;Lupa Osteria Romana;983;Italian, Romana;“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”;carbonara;Yes;1
667;RA Sushi - Times Square;780;Japanese, Sushi;“We had the lobster tacos, the gramercy roll and the gold roll and all were de...”;lobster;Yes;1
668;Motorino East Village;290;Italian, Pizza;“Excellent Pizza”;bass;Yes;1
669;the Press Lounge;413;Bar;“Stunning rooftop views”;carbonara;Yes;1
670;Lafayette Grand Cafe and Bakery;618;French;“Oui (or non) Cannes dieux”;burger;Yes;1
671;The Clam;184;American, Seafood;“Our two main dishes, the sea bass and spaghetti with clams were great, as wer...”;Garden;Yes;1
672;Em Vietnamese Bistro;5;Asian, Vietnamese;““Best Kept Secret in Dumbo””;pasta;Yes;1
673;Ceci Italian Restaurant & Bar;658;Healthy, Italian;“... the carbonara and the amatriciana.”;escargot;Yes;1
674;Maria Pia;737;Italian;“Visited pre-show Small restaurant with...”;duck;Yes;1
675;Empire Steak House;356;American, Steakhouse;“PS My brother returned on another evening &had the burger in the front bar.”;donuts;Yes;1
676;Bagatelle;537;French;“Lunch”;pancakes;Yes;1
677;Jack Doyle's;365;American, Irish;“A nice little pub just ioff 8th avenue!”;salad;Yes;1
678;Goldie's Tavern;7;Bar, Pub;“Close to Maddison Square Garden.”;lobster;Yes;1
679;Kiss My Slice;122;Pizza, Fast Food;“Definitely recommend”;vegetarian;Yes;1
680;Sarabeth's East;587;American;“French toastacular!! Delicious”;Amazing food;Yes;1
681;Piacere;366;Italian;“Porcini mushroom pasta delicious.”;chili;Yes;1
682;Famous Famiglia Pizzeria;555;Italian, Pizza;“Good Pizza...”;tiramisu;Yes;1
683;Benoit New York;964;French, Contemporary;“We chose Benoit because they had both chocolate soufflés & escargot.”;bouillabaisse;Yes;1
684;Katherine;111;Italian;“Best cocktails”;pizza;Yes;1
685;Estela;403;American, Bar;“... endive salad, beef tartare was amazing and the duck which was incredible.”;chicken and waffles;Yes;1
686;The Rag Trader;169;American, Cafe;“Although we didn't try the drunkin' donuts, it looked like it would be a fun...”;Fine;Yes;1
687;Bus Stop;247;Italian;“... 6 of us and all enjoyed different selections of pancakes, eggs, waffles.”;Burger;Yes;1
688;Morandi;578;American;“The salad with the grilled grapes was d...”;gyoza;Yes;1
689;Aretsky's Patroon;191;Indian;“Most notable was the poached lobster and heart of palm “pasta” (delicious, lo...”;No;Yes;1
690;Saar Indian Bistro;98;Middle Eastern, Afghan;“We had a party of four and ordered three entrees to share and one vegetarian...”;No;No;0
691;Ariana Afghan Kabab Restaurant;179;Cafe, Diner;“Amazing food.”;No;No;0
692;Skylight Diner;847;Italian;“They used veggie chili instead of just putting beans on it and could have don...”;No;No;0
693;Cafe Fiorello;1,393;Thai;“For dessert we shared a tiramisu and a tartufo and it was a satisfying end to...”;No;No;0
694;Topaz Thai Restaurant;730;French, European;“Front window dining is fun!”;No;No;0
695;Marseille;1,215;Italian, Pizza;“The small bouillabaisse was sufficient for a main dish.”;No;No;0
696;Motorino;48;American;“Delicious thin crust pizza”;No;No;0
697;Amy Ruth's Home Style Southern Cuisine;922;Mexican, Southwestern;“We both ate chicken and waffles, and it...”;No;No;0
698;Sinigual;428;American, Bar;“Mexican is finally good in NYC!”;No;No;0
699;Roxy Bar;155;Italian, Pizza;“My new go-to spot for great live music...”;No;No;0
700;Gigino Trattoria;254;American, Steakhouse;“Fine Dining Italian Style”;No;No;0
701;Ted's Montana Grill;755;Japanese, Asian;“Great Burger options and a nice atmosphere”;No;No;0
702;IZAKAYA E.A.K. Hell's Kitchen;20;Japanese, Asian;“We also had pork and ginger gyoza.”;No;No;0
703;Greek From Greece;19;Greek, Cafe;“We had some delicious French toast with...”;French toast;Yes;1
704;Balaboosta;280;Mediterranean, Middle Eastern;“Chef lives up to her reputation”;pub;Yes;1
705;Crompton Ale House;212;American, Bar;“Great local pub, delicious food and nice selection of beer on tap!”;Tuna;Yes;1
