series,series_code,country_name,country_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,Middle East & North Africa (excluding high income),MNA,87.17104,85.60256,86.0203,87.68785,86.40682,86.55017,87.94233,88.93473,90.16473,91.40705,95.82221,96.15474,95.8914,96.62017,97.63079,98.33283,99.08944,99.88808,101.42142,101.72405,102.29747,102.55796,102.77238,102.9039
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,North America,NAC,104.28128,103.52896,102.76576,102.4622,103.32112,102.82483,103.19178,103.51579,103.07874,100.01097,101.00848,100.72171,100.91503,102.23025,102.5651,102.85973,102.12711,99.74273,99.71953,100.50462,101.25864,101.36971,101.20316,101.29742
"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,OECD members,OED,103.77789,103.51556,103.10295,102.79897,102.87092,102.9182,102.31063,103.49165,103.47462,102.60314,102.65475,102.87829,103.15333,103.62441,104.05104,104.33523,104.17143,103.37183,102.77903,102.54565,102.52775,102.00993,101.87429,102.37055
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,Latin America & Caribbean,LCN,112.91303,113.64598,114.08858,114.71311,121.34415,121.60709,115.39003,122.6455,122.18293,118.68737,117.56334,116.30829,116.05195,115.55559,115.50245,115.91229,116.04484,114.91114,109.93356,108.98807,108.83482,108.93099,108.72822,109.31289
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,Europe & Central Asia,ECS,104.25499,103.65981,103.47015,103.16433,102.80509,102.63724,102.2145,102.941,102.93381,102.80467,103.10553,102.49801,101.63905,101.26104,101.34672,101.65612,101.34043,101.5511,101.98525,101.26836,101.2044,100.66032,100.85714,100.7812
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,Europe & Central Asia (IDA & IBRD countries),TEC,105.74677,105.24485,104.60352,103.79115,103.08321,102.44534,102.06271,102.24002,102.44677,102.22794,104.10853,102.26849,99.90343,99.01219,99.13135,99.29962,99.03711,99.68335,101.2339,99.70519,99.81553,98.351,98.8625,98.74127
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,Central Europe and the Baltics,CEB,94.29099,95.34389,96.46872,97.33351,97.55953,98.09115,98.85274,99.52667,98.98352,99.05145,99.05121,99.45536,98.89889,98.54452,98.77248,98.37071,98.82007,99.07394,98.34834,97.59906,96.91125,96.47176,95.26243,95.30736
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,East Asia & Pacific,EAS,115.9537,114.48222,112.73461,110.98266,108.98139,106.91674,105.35034,105.54521,105.97081,107.48242,106.42097,105.22397,103.76667,101.86951,102.26262,102.24349,102.13797,101.91428,100.42663,100.59828,101.34056,101.90334,102.0743,103.47642
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,Euro area,EMU,102.9896,101.95512,102.08397,102.37243,102.57425,103.27255,103.05871,104.43766,104.07963,104.05622,102.64194,102.54319,103.52854,103.94531,104.22136,104.15203,103.72125,103.36126,102.37699,102.39508,102.12313,102.64669,102.6105,102.61332
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,Middle East & North Africa (excluding high income),MNA,95.59054,93.18711,93.30625,95.03058,93.13372,94.92436,94.71967,95.39137,96.24839,97.12933,100.60166,100.75667,100.44196,101.06861,101.77984,102.24235,102.87811,103.59021,103.65956,103.76421,104.14207,104.47663,104.61117,104.62395
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,North America,NAC,105.24106,104.52201,103.78327,102.99959,103.89017,103.4912,102.90264,102.31422,101.78074,100.73531,100.92646,100.99682,101.46565,101.90393,102.73033,102.78579,101.94126,100.19305,99.82692,100.48222,101.33399,101.74525,101.278,101.2778
"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,OECD members,OED,104.58151,104.24221,103.91716,103.58263,103.66543,103.73613,102.92029,103.89047,103.74148,103.38837,103.12084,103.44193,103.84132,104.02369,104.54218,104.75296,104.48041,103.83788,102.97417,102.67279,102.63035,102.24451,102.0227,102.47184
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,Latin America & Caribbean,LCN,93.86895,94.5214,94.70683,95.35506,98.99373,99.92286,97.38385,101.17076,101.40111,100.471,99.56174,99.68973,99.69963,99.21224,98.51625,99.24911,99.62894,100.10384,100.50354,100.51405,100.93305,101.30686,102.09559,102.64968
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,Europe & Central Asia,ECS,96.4045,96.15629,97.19633,97.79513,97.95681,97.86092,97.55533,97.52947,98.04572,98.42171,100.77965,99.0325,98.43073,98.4243,98.67524,98.89082,98.39954,99.65354,103.67382,103.43356,103.564,103.95226,103.72108,103.72154
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,Europe & Central Asia (IDA & IBRD countries),TEC,95.82134,94.70935,93.99958,93.09925,93.13545,92.90019,92.90639,93.62722,94.60755,94.82237,98.47833,95.47471,93.26759,93.42368,93.96647,93.83236,92.75418,94.32576,100.03195,99.54802,99.85868,100.13642,100.13224,100.1742
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,Central Europe and the Baltics,CEB,90.80542,89.28857,90.7628,91.10269,90.82952,91.80149,92.91021,92.74577,93.48592,94.48758,97.27599,94.8979,95.69164,95.82371,96.36123,96.76331,96.95086,97.66919,101.15269,100.49286,99.97143,99.82567,99.2819,99.30999
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,East Asia & Pacific,EAS,81.32836,82.28757,83.22283,83.34765,84.3423,85.26676,84.72854,85.8991,85.81221,85.67478,83.79639,84.79739,84.89665,85.71793,88.50021,90.0992,91.59254,92.6975,92.12862,92.34839,92.34151,92.85721,93.28618,94.27475
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,Euro area,EMU,98.0419,98.95856,101.35255,104.12962,104.61576,104.86122,104.51827,103.15554,102.66752,103.23564,104.16854,103.66646,105.2635,105.81267,105.70344,105.93812,105.97747,106.59178,105.9754,106.06672,105.8746,106.39243,106.37973,106.36495
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,Middle East & North Africa (excluding high income),MNA,84.32083,81.99969,82.31599,84.36355,82.75091,84.21093,83.81773,84.4697,85.16697,85.66559,87.4212,87.88676,87.68358,87.80907,86.87818,87.69015,88.71385,89.38503,91.49384,91.98829,92.65809,93.21346,93.48974,93.80646
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,North America,NAC,98.9987,100.09595,101.13505,101.29139,100.73162,100.82053,99.68684,98.53365,97.21203,97.77897,98.17674,98.00088,98.34399,98.48189,98.97356,99.12446,98.43294,97.80476,98.69382,99.35534,100.76858,101.23673,101.12766,101.06476
"Gross enrolment ratio, primary and secondary, male (%)",UIS.GER.123.M,OECD members,OED,94.9098,95.62901,97.02309,98.16357,98.3492,98.79824,96.70303,98.40495,98.36803,98.81639,100.39473,100.09199,100.58149,100.77482,101.07411,101.23338,100.6736,101.05155,103.43494,103.63687,103.95756,104.35597,103.87236,103.52069
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Latin America & Caribbean,LCN,1.0157,1.01442,1.01285,1.01059,1.00939,1.00575,1.00746,1.00695,1.00924,1.01084,1.0174,1.01645,1.01574,1.01747,1.02535,1.02596,1.02736,1.02118,1.02024,1.01631,1.01655,1.01212,1.01433,1.01332
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Europe & Central Asia,ECS,0.9897,0.99155,0.98936,0.98724,0.98647,0.98736,0.98704,0.98502,0.9838,0.98432,0.98011,0.98249,0.98286,0.98462,0.98558,0.98721,0.98845,0.98742,0.99545,0.99539,0.99578,0.99088,0.99261,0.99336
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,0.97413,0.97504,0.97401,0.97532,0.97431,0.97449,0.97458,0.9704,0.96715,0.96864,0.95957,0.96576,0.96687,0.97067,0.97227,0.97615,0.98173,0.98105,0.988,0.98885,0.98979,0.98372,0.98643,0.98735
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Central Europe and the Baltics,CEB,1.00153,1.01143,1.00399,1.00591,1.01067,1.00793,1.00197,1.0014,0.99996,0.99737,0.99121,1.0015,0.99751,0.99572,0.99522,0.99519,0.99599,0.99399,0.98978,0.99218,0.99235,0.99412,0.99248,0.99186
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,East Asia & Pacific,EAS,0.90543,0.91515,0.91729,0.9311,0.93762,0.94426,0.94898,0.95547,0.9636,0.96805,0.97438,0.98083,0.98421,0.98836,0.98986,0.99358,0.99686,0.99392,1.00185,1.00097,1.00401,1.00503,1.0072,1.00698
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Euro area,EMU,1.00679,1.00817,1.00767,1.00048,0.99909,1.00097,0.99918,0.99773,0.99891,0.99797,0.99767,0.99894,0.99794,0.99638,0.99763,0.99738,0.99339,0.99253,0.99592,0.99582,0.99678,0.99303,0.995,0.996
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Middle East & North Africa (excluding high income),MNA,0.81096,0.82539,0.83471,0.83895,0.85327,0.84168,0.86498,0.875,0.88632,0.895,0.91501,0.92003,0.9241,0.92887,0.93785,0.93566,0.93572,0.93674,0.95254,0.95484,0.95858,0.95844,0.96098,0.96353
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,North America,NAC,0.99796,0.99302,0.98902,0.9913,1.00059,0.99363,1.01037,1.02782,1.02718,1.00041,1.00173,1.00586,1.00208,1.00018,1.00153,0.99864,1.00782,0.99979,1.00457,1.00531,0.99728,0.99466,0.99546,0.99664
"Gross enrolment ratio, primary and secondary, gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,OECD members,OED,0.98793,0.98781,0.98543,0.98358,0.98611,0.98422,0.98846,0.9939,0.99505,0.99011,0.99185,0.99477,0.99543,0.99566,0.99724,0.99821,1.00138,0.99863,1.0027,1.00321,1.00214,0.99924,1.00254,1.00334
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,Latin America & Caribbean,LCN,95.34237,95.88407,95.92373,96.36486,99.92374,100.49754,98.11014,101.87403,102.33771,101.56024,101.2946,101.3295,101.26939,100.94588,101.01335,101.82513,102.35443,102.22369,102.53802,102.15295,102.60303,102.53446,103.55856,104.01695
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,Europe & Central Asia,ECS,95.41143,95.34334,96.16233,96.54747,96.63135,96.6244,96.29089,96.06854,96.45732,96.8781,98.77503,97.29877,96.74361,96.91015,97.25219,97.62602,97.26306,98.40007,103.20184,102.95625,103.12646,103.00382,102.95421,103.03252
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,Europe & Central Asia (IDA & IBRD countries),TEC,93.34257,92.3451,91.55639,90.80194,90.74233,90.53069,90.54466,90.85562,91.49954,91.84838,94.49686,92.20601,90.17794,90.68397,91.36055,91.59434,91.05965,92.53814,98.83135,98.43819,98.8393,98.50667,98.77331,98.90651
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,Central Europe and the Baltics,CEB,90.94427,90.30882,91.12458,91.64072,91.79904,92.52907,93.09299,92.87561,93.48177,94.23881,96.4213,95.04019,95.45371,95.41382,95.90104,96.29779,96.56167,97.0819,100.11856,99.7067,99.20645,99.2391,98.53553,98.50185
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,East Asia & Pacific,EAS,73.63705,75.30511,76.33927,77.60472,79.08077,80.51418,80.40576,82.07444,82.68851,82.93712,81.64927,83.17142,83.55651,84.7203,87.60307,89.52052,91.3051,92.13358,92.29933,92.43797,92.71191,93.32427,93.95822,94.93324
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,Euro area,EMU,98.70732,99.76658,102.12976,104.17964,104.52077,104.96318,104.43288,102.92165,102.55549,103.02591,103.9255,103.55686,105.04648,105.4301,105.45317,105.66014,105.27724,105.79504,105.54269,105.6229,105.53359,105.6511,105.84816,105.93963
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,Middle East & North Africa (excluding high income),MNA,68.38088,67.68213,68.70982,70.77702,70.60855,70.87883,72.50024,73.91095,75.48484,76.67032,79.99096,80.85842,81.02866,81.56291,81.47834,82.04828,83.011,83.73088,87.15123,87.83427,88.8201,89.33962,89.84216,90.3851
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,North America,NAC,98.79654,99.39757,100.02444,100.4104,100.79135,100.17813,100.72071,101.27467,99.85436,97.81921,98.34657,98.57556,98.5483,98.49975,99.12537,98.98979,99.20276,97.78416,99.14478,99.88288,100.49419,100.69594,100.66816,100.72495
"Gross enrolment ratio, primary and secondary, female (%)",UIS.GER.123.F,OECD members,OED,93.76402,94.46312,95.60927,96.55133,96.98315,97.23874,95.58679,97.80515,97.8808,97.83931,99.57627,99.56822,100.12214,100.33747,100.79477,101.05251,100.81248,100.9134,103.71408,103.96925,104.17985,104.27662,104.13593,103.86654
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,Latin America & Caribbean,LCN,94.59763,95.19519,95.30841,95.85412,99.45316,100.20666,97.74238,101.51773,101.86298,101.00783,100.41505,100.49678,100.47259,100.06576,99.74082,100.51264,100.96393,101.14451,101.49922,101.31726,101.75077,101.90866,102.81286,103.32042
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,Europe & Central Asia,ECS,95.91768,95.75773,96.68942,97.18357,97.30727,97.25516,96.93603,96.81413,97.26833,97.66636,99.7997,98.18525,97.60648,97.6848,97.9805,98.27357,97.84505,99.04221,103.44385,103.20106,103.35096,103.4906,103.34788,103.38632
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,Europe & Central Asia (IDA & IBRD countries),TEC,94.6017,93.54617,92.79786,91.96967,91.95926,91.73613,91.74669,92.26687,93.08284,93.3636,96.52817,93.87438,91.75546,92.08368,92.69266,92.7391,91.92672,93.45338,99.44656,99.00704,99.36191,99.34253,99.47047,99.55703
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,Central Europe and the Baltics,CEB,90.87322,89.78674,90.93943,91.36534,91.30274,92.15658,92.99942,92.80915,93.48389,94.36618,96.85893,94.96731,95.5756,95.62386,96.13694,96.53649,96.76127,97.38318,100.64936,100.11024,99.59911,99.54008,98.91838,98.91625
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,East Asia & Pacific,EAS,77.57979,78.88447,79.86794,80.54899,81.77887,82.95212,82.62437,84.03885,84.29437,84.34608,82.75853,84.01355,84.25158,85.23849,88.06974,89.82202,91.45511,92.42833,92.20971,92.3909,92.51713,93.0785,93.60445,94.58652
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,Euro area,EMU,98.36671,99.35297,101.73191,104.15403,104.5694,104.91097,104.4766,103.04141,102.61288,103.13334,104.04999,103.61301,105.15766,105.62606,105.58142,105.80262,105.63621,106.20354,105.76484,105.85087,105.70888,106.03232,106.1216,106.1585
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,Middle East & North Africa (excluding high income),MNA,76.53255,75.00247,75.66646,77.7242,76.81708,77.69366,78.28319,79.30478,80.42974,81.26448,83.78867,84.45219,84.43248,84.7575,84.23938,84.93234,85.92599,86.62136,89.37368,89.96131,90.78622,91.32471,91.71182,92.13925
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,North America,NAC,98.90008,99.75506,100.59288,100.86141,100.76077,100.50714,100.1913,99.87111,98.49895,97.79856,98.2595,98.28101,98.4436,98.4906,99.04758,99.05877,98.80856,97.79471,98.91416,99.61331,100.63435,100.97214,100.90282,100.89858
"Gross enrolment ratio, primary and secondary, both sexes (%)",UIS.GER.123,OECD members,OED,94.34878,95.05801,96.33065,97.37405,97.68044,98.03507,96.1569,98.1116,98.12996,98.33918,99.99502,99.83619,100.35716,100.56124,100.93771,101.14508,100.74141,100.98411,103.57125,103.79919,104.06609,104.31723,104.00101,103.68943
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,Latin America & Caribbean,LCN,41.46902,43.61978,45.37748,46.19238,47.96005,49.41522,50.41087,51.92959,53.58026,54.72383,57.14852,58.41183,60.6634,62.97617,64.52482,66.80234,67.73943,65.51848,73.01954,74.04688,75.08914,76.63415,77.05006,77.56953
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,Europe & Central Asia,ECS,66.63681,65.25205,63.74992,60.77333,60.53543,60.51287,60.18853,59.78254,58.16396,58.66274,63.16988,63.4597,65.52003,66.83221,67.94978,69.46382,70.25724,71.38577,73.54109,74.38697,75.41947,75.51061,76.38669,76.62812
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,Europe & Central Asia (IDA & IBRD countries),TEC,58.47942,56.50721,53.47263,48.30315,47.38715,45.86749,44.17408,42.16923,39.36801,38.99295,43.0927,43.89703,45.22167,47.09535,48.89283,50.96646,52.44078,54.14666,58.00941,58.73649,59.97221,60.93883,62.30737,62.88905
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,Central Europe and the Baltics,CEB,58.381,53.04193,52.67108,51.86079,53.90937,55.61742,57.13436,58.44244,61.24873,62.54557,66.95991,68.94843,71.09203,72.5526,74.1203,74.78579,76.4216,78.53766,84.39582,84.52754,84.38061,85.25908,89.38408,89.41803
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,East Asia & Pacific,EAS,23.51746,24.57009,25.37624,25.88897,26.99824,27.99198,29.41596,40.40592,43.6287,43.75424,41.38544,42.11458,43.43041,46.0002,48.48732,50.34361,52.81844,55.31049,72.79881,75.25929,78.4321,80.84192,83.25132,83.03324
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,Euro area,EMU,87.60759,88.03944,89.18321,90.37963,90.19386,92.25422,93.31092,94.02773,94.39654,95.08722,97.67084,98.32561,99.91301,100.05835,99.91227,99.97809,100.02949,100.3801,100.34085,100.36748,100.76796,100.25134,100.52593,100.66391
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,Middle East & North Africa (excluding high income),MNA,14.94276,15.2289,14.58082,14.50398,14.69184,15.24105,15.95182,16.99141,16.24681,16.92151,17.82987,18.61819,19.86582,22.37372,22.16852,23.76799,25.41348,26.80915,28.10615,29.00031,28.74528,29.02658,28.75099,29.28605
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,North America,NAC,65.69888,66.98943,68.14021,69.39407,70.67363,71.17431,71.19255,71.41947,71.32233,71.34664,71.419,71.39014,71.43798,71.02715,70.60807,70.14639,69.67878,69.2423,72.11664,72.42916,71.85032,72.4671,71.39247,71.39663
"Gross enrolment ratio, pre-primary, male (%)",SE.PRE.ENRR.MA,OECD members,OED,61.35402,62.09293,63.30509,64.76917,65.99072,67.42266,68.15679,71.34243,70.05954,70.5803,72.38124,72.61254,74.89344,76.08203,77.08129,78.0487,78.32999,79.10899,78.31299,79.40688,80.19734,80.65461,80.92615,79.73444
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,Latin America & Caribbean,LCN,42.21376,44.40127,46.04558,46.86858,48.79433,50.34212,51.33111,52.84077,54.10358,55.64644,57.76148,58.89466,61.34508,63.54098,65.2377,67.40272,68.54121,66.43706,74.36337,75.12822,76.87947,77.80672,78.01911,78.6723
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,Europe & Central Asia,ECS,63.86172,62.89697,61.18058,58.32957,58.04066,58.21861,58.28005,58.1561,56.96966,57.64165,62.24013,62.59087,64.64178,66.07153,67.26979,68.92288,69.62984,70.80806,72.79559,73.64764,74.50346,74.51313,75.44068,75.7125
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,Europe & Central Asia (IDA & IBRD countries),TEC,54.37509,52.5237,49.58112,44.74367,44.04941,42.96537,41.55227,40.01478,37.80561,37.75256,41.97684,42.97475,44.23987,46.18549,48.09333,50.4705,51.8459,53.54775,57.1829,58.14037,58.8736,59.73314,61.19592,61.83426
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,Central Europe and the Baltics,CEB,58.38192,55.33286,53.16076,51.94362,53.83095,55.19509,56.33913,57.94205,61.26184,62.28915,66.85175,68.50906,70.68459,72.18201,73.59287,74.37936,75.96121,78.10651,83.63473,83.47035,83.13506,83.96743,88.47718,88.50768
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,East Asia & Pacific,EAS,23.29425,23.96238,24.7296,25.21597,26.23854,27.25076,28.6123,39.85433,42.81558,42.85858,40.15993,40.87082,41.95059,44.01195,46.41246,48.83383,51.50562,54.02806,72.74103,74.7012,77.59095,80.06369,82.39141,82.01787
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,Euro area,EMU,87.79407,88.33644,89.25246,90.2011,89.07641,90.76781,92.48854,93.05077,93.51641,94.39928,96.99622,97.64296,98.99911,99.08447,98.99553,99.1401,99.14742,99.44998,99.6859,99.85613,100.13396,99.6209,99.86781,99.98077
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,Middle East & North Africa (excluding high income),MNA,10.18585,10.28008,9.92671,9.8874,10.16309,10.80152,11.54674,12.5513,12.36741,13.32785,15.42933,16.41932,17.79732,20.41649,20.58717,21.63122,23.77081,24.45152,26.96297,27.68425,27.99236,28.2985,28.24524,28.93649
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,North America,NAC,63.86965,64.87121,65.74565,66.73856,67.73395,70.20497,70.0629,70.09968,70.05437,69.8936,69.43653,69.3485,69.18433,69.4599,69.74015,70.0585,70.38279,70.67309,72.46904,71.11338,71.53322,72.85943,72.42719,72.4195
"Gross enrolment ratio, pre-primary, female (%)",SE.PRE.ENRR.FE,OECD members,OED,61.08499,62.11255,62.88164,64.18623,65.10923,66.99785,67.80945,71.00859,69.77389,70.28779,71.86013,72.0365,74.1891,75.69405,76.87197,78.10408,78.63884,79.55112,78.33388,78.84974,80.01895,80.71153,81.15624,79.92942
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,Latin America & Caribbean,LCN,41.83526,44.00391,45.70575,46.52454,48.36982,49.87037,50.86262,52.37671,53.83799,55.17624,57.44913,58.64896,60.99735,63.25339,64.87426,67.0972,68.13094,65.96841,73.67568,74.57572,75.96063,77.20745,77.52462,78.10907
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,Europe & Central Asia,ECS,65.2788,64.10019,62.49385,59.57911,59.31673,59.39249,59.25709,58.98918,57.58149,58.16449,62.71634,63.03584,65.09161,66.46125,67.61833,69.20027,69.95165,71.1044,73.17825,74.02717,74.97382,75.02538,75.92654,76.18276
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,Europe & Central Asia (IDA & IBRD countries),TEC,56.46702,54.55558,51.56735,46.56141,45.75477,44.4488,42.89345,41.11771,38.60572,38.38721,42.54788,43.44667,44.74243,46.6515,48.50311,50.72482,52.15108,53.85502,57.60725,58.44652,59.43797,60.35255,61.76702,62.37629
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,Central Europe and the Baltics,CEB,58.38145,54.15914,52.90992,51.9012,53.87111,55.41142,56.74653,58.19849,61.25512,62.42066,66.90726,68.73458,70.89371,72.37224,73.8636,74.58797,76.19754,78.32782,84.02533,84.013,83.77441,84.63052,88.94277,88.97505
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,East Asia & Pacific,EAS,23.4092,24.27563,25.06325,25.56361,26.6315,27.63476,29.02965,40.14177,43.24089,43.32774,40.80255,41.52269,42.72726,45.05675,47.50457,49.62995,52.1991,54.70613,72.77165,74.9967,78.03589,80.47466,82.84459,82.55188
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,Euro area,EMU,87.69844,88.18413,89.21695,90.29264,89.64938,91.52994,92.91023,93.55174,93.96761,94.75202,97.34228,97.9931,99.46769,99.58369,99.46548,99.56991,99.59983,99.92713,100.02206,100.11851,100.45939,99.94456,100.20563,100.3314
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,Middle East & North Africa (excluding high income),MNA,12.61496,12.80772,12.30554,12.24916,12.48136,13.07406,13.80258,14.82521,14.35382,15.16784,16.65883,17.54575,18.85713,21.41932,21.39774,22.7267,24.61301,25.6602,27.54951,28.35967,28.37882,28.67226,28.50489,29.11595
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,North America,NAC,64.80556,65.95479,66.97067,68.09741,69.23853,70.70125,70.64106,70.77492,70.70384,70.6375,70.4502,70.39283,70.33634,70.26072,70.1835,70.10341,70.02295,69.94183,72.28912,71.78549,71.69526,72.65886,71.89816,71.89657
"Gross enrolment ratio, pre-primary, both sexes (%)",SE.PRE.ENRR,OECD members,OED,61.22262,62.10251,63.09833,64.48458,65.56042,67.2153,67.98724,71.17947,69.92013,70.43755,72.12681,72.33126,74.54936,75.89245,76.97902,78.07575,78.48079,79.32475,78.32319,79.13497,80.11029,80.68238,81.0384,79.82957
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,Latin America & Caribbean,LCN,23723684.4,24193528.49,24507925.95,25045068.37,25672228.69,26261082.92,26524821.96,27797426.18,27927382.92,28916594.17,29123715.63,29838918.72,30121644.54,30322074.99,30235367.62,30713955.34,31037932.85,31320829.17,32472778.74,32305860.93,32379919.14,32193240.93,32197329.3,32238630.89
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,Europe & Central Asia,ECS,39862862.46,39903577.62,40558135.62,40997180.94,41276994.51,41142585.65,41214915.77,40874010.9,41314529.82,41661177.2,41829404,40597610.62,39907147.66,39145354.74,38423417.05,37657571.67,37173671.2,36956301.24,38043479.78,37771349.56,37741552.9,38012085.8,38201310.58,38611564.57
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,Europe & Central Asia (IDA & IBRD countries),TEC,20922003.96,20822928.36,20835369.01,20894521.98,21203170.42,21370578.75,21711013.89,21883137.52,22289676.19,22593928.35,22532983.41,21590119.38,20757615.82,20285613.84,19768211.22,19066495.73,18767297.07,18509106.61,19138892.65,19000205.43,19047738.97,19270355.33,19488321.53,19820939.4
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,Central Europe and the Baltics,CEB,5569631.769,5457831.431,5505398.719,5493354.333,5440288,5427291,5419734.5,5350634,5364140,5369535,5343525,5087721.197,4992081,4829196,4643213,4498659,4323171,4179189,3800182,3689839,3595280,3562243,3537017.417,3542317.699
"Enrolment in secondary education, female (number)",SE.SEC.ENRL.FE,East Asia & Pacific,EAS,43421702.43,44557769.23,45650309.75,47408264.15,50330396.16,53893599,55210532.52,59773876.96,62619377.72,64918190.34,73019743.25,75699764.81,76609961.47,77588923.97,78999727.64,78762007.75,79044496.87,77869383.68,74974559.27,74202220.77,73039596.46,73680959.31,74933313.35,75105802.16
